Checked,File ID,RT [min],First Scan,Mass Analyzer,Activation Type,MS Order,# PSMs,Best PSM Ambiguity,Isolation Interference [%],Ion Inject Time [ms],Precursor m/z [Da],Precursor MH+ [Da],Precursor Charge,Spectrum File
FALSE,F114,36.6399,5707,Fourier Transform,NCE 27±6 %,MS2,0,None,22.68966,150,455.24146,1817.94399,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,36.6431,5708,Fourier Transform,NCE 24±3 %,MS2,0,None,22.68966,150,455.24146,1817.94399,4,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,36.6854,5716,Fourier Transform,NCE 27±3 %,MS2,0,None,55.16911,150,597.30322,1789.89511,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,36.6898,5717,Fourier Transform,NCE 27±6 %,MS2,0,None,55.16911,150,597.30322,1789.89511,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,36.6929,5718,Fourier Transform,NCE 24±3 %,MS2,0,None,55.16911,150,597.30322,1789.89511,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,37.245,5807,Fourier Transform,NCE 27±3 %,MS2,0,None,11.14903,150,597.30304,1789.89457,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,37.2494,5808,Fourier Transform,NCE 27±6 %,MS2,0,None,11.14903,150,597.30304,1789.89457,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,37.2525,5809,Fourier Transform,NCE 24±3 %,MS2,0,None,11.14903,150,597.30304,1789.89457,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,37.7929,5896,Fourier Transform,NCE 27±3 %,MS2,0,None,58.3975,150,597.30347,1789.89585,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,37.7973,5897,Fourier Transform,NCE 27±6 %,MS2,0,None,58.3975,150,597.30347,1789.89585,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,37.8004,5898,Fourier Transform,NCE 24±3 %,MS2,0,None,58.3975,150,597.30347,1789.89585,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,40.9655,6399,Fourier Transform,NCE 27±3 %,MS2,0,None,66.15973,150,597.30499,1789.90042,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,40.9699,6400,Fourier Transform,NCE 27±6 %,MS2,0,None,66.15973,150,597.30499,1789.90042,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
FALSE,F114,40.973,6401,Fourier Transform,NCE 24±3 %,MS2,0,None,66.15973,150,597.30499,1789.90042,3,Lumos_RSLC3_stepped-HCD_comparison_2.raw
